Brunei,5770,19.01,3.42,0,6842000000,12.61,6409,35000,158000,74.8
Liechtenstein,160,10.41,7.06,0,825000000,4.70,3727,20000,29000,79.55
Norway,324220,11.67,9.45,0,183000000000,3.70,593850,2288000,2380000,79.4
Palau,458,18.37,6.85,0,174000000,14.84,0,0,9845,70.14
Tokelau,10,0.00,0.00,0,1500000,0.00,0,0,0,0.00
Niue,260,0.00,0.00,418000,7600000,0.00,0,0,0,0.00
Anguilla,102,14.26,5.43,8800000,112000000,21.03,0,3000,6049,77.11
Montserrat,102,17.56,7.17,8900000,29000000,7.35,0,0,4521,78.71
Kiribati,811,30.86,8.37,10000000,79000000,48.52,0,2000,7870,61.71
Greenland,2166086,15.93,7.77,25000000,1100000000,15.82,2642,20000,24500,69.65
Nauru,21,25.14,6.82,33300000,60000000,9.95,0,300,0,62.73
British Virgin Islands,153,14.96,4.42,36100000,2498000000,18.05,0,4000,12770,76.27
Micronesia Federated States of,702,25.11,4.87,53100000,277000000,30.21,0,6000,0,69.75
Tonga,748,25.18,5.35,63400000,244000000,12.62,18906,2900,33910,69.53
Faroe Islands,1399,13.97,8.69,64000000,1000000000,6.24,0,25000,24250,79.21
Cayman Islands,262,12.92,4.81,70000000,1391000000,8.19,0,9909,19820,79.95
New Caledonia,19060,18.49,5.65,79000000,3158000000,7.72,4449,60000,79400,74.04
Vanuatu,12200,23.06,7.90,83700000,580000000,55.16,512,7500,0,62.49
Marshall Islands,181,33.52,4.88,86500000,115000000,29.45,6,1400,28700,70.01
Gaza Strip,360,40.03,3.87,108000000,768000000,22.93,0,60000,725000,71.79
West Bank,5860,32.37,3.99,108000000,1800000000,19.62,0,145000,364000,73.08
Malta,316,10.17,8.00,130000000,7223000000,3.89,7156,120000,160000,78.86
Cook Islands,240,0.00,0.00,141000000,105000000,0.00,0,3600,8000,0.00
Bermuda,53,11.60,7.63,160000000,2330000000,8.53,5161,34500,37470,77.79
Dominica,754,15.73,6.81,161500000,384000000,14.15,681,12500,25000,74.65
Saint Vincent and the Grenadines,389,16.34,6.00,167200000,342000000,14.78,4,7000,67000,73.62
Saint Kitts and Nevis,261,18.12,8.47,171000000,339000000,14.49,51,10000,18170,72.15
Martinique,1100,14.14,6.44,180000000,6117000000,7.09,0,40000,165900,79.04
Solomon Islands,28450,30.74,3.98,180400000,800000000,21.29,398,2200,26840,72.66
Fiji,18270,22.73,5.65,188100000,5173000000,12.62,493,55000,137000,69.53
Grenada,344,22.30,7.17,196000000,440000000,14.62,18,15000,42300,64.53
Samoa,2944,15.95,6.54,197000000,1000000000,27.71,8225,4000,90000,70.72
Saint Lucia,616,20.05,5.12,214000000,866000000,13.53,41,13000,43800,73.61
Seychelles,455,16.22,6.34,218100000,626000000,15.53,264,11700,30900,71.82
Antigua and Barbuda,443,17.26,5.44,231000000,750000000,19.46,1665,10000,30000,71.9
Comoros,2170,37.52,8.40,232000000,441000000,74.93,11,5000,144500,61.96
Bhutan,47000,34.03,12.94,245000000,2900000000,100.44,985,15000,0,54.39
Equatorial Guinea,28051,36.18,12.00,248000000,1270000000,85.13,3,1800,0,55.56
Maldives,300,35.43,7.24,281000000,1250000000,56.52,532,15000,88000,64.06
Aruba,193,11.26,6.57,285000000,1940000000,5.89,923,24000,41500,79.14
Bahamas The,13940,17.87,8.97,308500000,5295000000,25.21,302,84000,156000,65.54
Eritrea,121320,38.62,13.53,311000000,4154000000,74.87,1047,9500,0,52.16
Sao Tome and Principe,1001,40.80,6.68,318000000,214000000,43.11,1069,15000,0,66.99
Swaziland,17363,27.72,25.26,320000000,6018000000,69.27,1401,27000,383200,35.65
Suriname,163270,18.39,7.16,321000000,1885000000,23.57,18,20000,104000,68.96
Cape Verde,4033,25.33,6.62,325000000,600000000,47.77,118,20400,0,70.45
Djibouti,23000,39.98,19.39,366000000,619000000,104.13,702,6500,282000,43.1
Gambia The,11300,39.86,11.81,476000000,2799000000,72.02,568,25000,400000,55.2
Botswana,600370,23.33,29.36,531000000,15050000000,54.58,1920,60000,264000,33.87
Belarus,207600,10.83,14.15,600000000,70500000000,13.37,5308,1391900,4305000,68.72
Barbados,431,12.83,9.17,668000000,4569000000,12.50,204,100000,128500,71.41
Lesotho,30355,26.53,25.03,735000000,5892000000,84.23,119,21000,838000,36.68
Central African Republic,622984,35.17,20.27,881400000,4248000000,91.00,6,5000,0,41.01
Tajikistan,143100,32.58,8.39,888000000,7950000000,110.76,69,4100,3187000,64.56
Armenia,29800,11.76,8.16,905000000,13650000000,23.28,2206,150000,1400000,71.55
Guinea-Bissau,36120,37.65,16.53,941500000,1008000000,107.17,2,19000,480000,46.97
Mozambique,801590,35.79,20.99,966000000,23380000000,130.79,3249,50000,9200000,40.32
Chad,1284000,45.98,16.41,1100000000,15660000000,93.82,8,15000,0,47.94
Burundi,27830,39.66,17.43,1133000000,4001000000,69.29,22,14000,2990000,43.5
Namibia,825418,25.16,18.36,1136000000,14760000000,48.98,3164,65000,840000,43.93
Mongolia,1564116,21.52,7.03,1191000000,5332000000,53.79,1000,220000,1488000,64.52
French Guiana,91000,20.70,4.85,1200000000,1551000000,12.07,0,3200,58800,77.09
Guyana,214970,18.45,8.32,1200000000,2899000000,33.26,613,125000,418000,65.5
Haiti,27750,36.59,12.34,1200000000,12050000000,73.45,0,80000,3600000,52.92
Burkina Faso,274200,44.17,18.86,1300000000,15740000000,97.57,442,48000,5000000,43.92
Rwanda,26338,40.60,16.32,1300000000,10430000000,91.23,1495,25000,4600000,46.96
Netherlands Antilles,960,15.00,6.41,1350000000,2450000000,10.03,119,2000,89000,75.83
Belize,22966,29.34,6.04,1362000000,1778000000,25.69,2613,30000,90000,67.49
Moldova,33843,15.27,12.79,1400000000,8581000000,40.42,11984,150000,1360000,65.18
Togo,56785,33.48,11.80,1400000000,8684000000,66.61,82,210000,1740000,52.64
Albania,28748,15.08,5.12,1410000000,17460000000,21.52,455,30000,1090000,77.24
Sierra Leone,71740,42.84,20.61,1500000000,3335000000,143.64,277,8000,1369000,42.52
Benin,112620,41.99,13.76,1600000000,8338000000,85.00,879,70000,0,50.51
Niger,1267000,48.30,21.33,1600000000,9716000000,121.69,134,15000,70000,42.13
Mauritius,2040,15.62,6.83,1780000000,15680000000,15.03,3985,150000,560000,72.38
Georgia,69700,10.25,9.09,1800000000,14450000000,18.59,5160,150500,2100000,75.88
Azerbaijan,86600,20.40,9.86,1832000000,30010000000,81.74,586,300000,5090000,63.35
Macedonia,25333,12.00,8.73,1863000000,14400000000,10.09,3738,100000,855000,73.73
Kyrgyzstan,198500,22.48,7.13,1970000000,8495000000,35.64,12299,152000,2700000,68.16
Liberia,111370,44.22,17.87,2100000000,2903000000,128.87,14,1000,0,47.69
Cambodia,181040,27.08,8.97,2400000000,26990000000,71.48,818,30000,7000000,58.87
Turkmenistan,488100,27.68,8.78,2400000000,27600000000,73.08,524,8000,2320000,61.39
Papua New Guinea,462840,29.95,7.37,2463000000,11990000000,51.45,389,75000,3320000,64.93
Laos,236800,35.99,11.83,2490000000,11280000000,85.22,937,15000,2600000,55.08
Mauritania,1030700,41.43,12.44,2500000000,5534000000,70.89,25,10000,786000,52.73
Macau,25,8.04,4.23,2700000000,9100000000,4.39,89,120000,231500,82.03
Nepal,140800,31.45,9.47,2700000000,39530000000,66.98,917,80000,10000000,59.8
Ethiopia,1127127,38.61,15.06,2900000000,54890000000,95.32,9,75000,0,48.83
Trinidad and Tobago,5128,12.81,9.37,2940000000,11480000000,24.31,8003,138000,590000,68.91
Bosnia and Herzegovina,51129,12.49,8.44,3000000000,26210000000,21.05,6994,100000,1026000,72.85
Somalia,637657,45.62,16.97,3000000000,4597000000,116.70,4,89000,3700000,48.09
Iceland,103000,13.73,6.68,3073000000,9373000000,3.31,122175,195000,158100,80.19
Malawi,118480,43.95,23.39,3129000000,7410000000,103.32,18,36000,4500000,36.97
Paraguay,406750,29.43,4.53,3239000000,29930000000,25.63,9243,120000,2660000,74.89
Guinea,245857,42.03,15.38,3250000000,19500000000,90.37,380,40000,3000000,49.86
Mali,1240000,46.77,19.05,3300000000,11000000000,116.79,187,25000,3930000,45.09
Senegal,196190,35.21,10.60,3476000000,18360000000,55.51,672,225000,4650000,56.75
Gabon,267667,36.24,11.72,3804000000,7966000000,53.64,93,35000,650000,55.75
Uganda,236040,47.39,12.80,3865000000,39390000000,67.83,2692,125000,12410000,51.59
Syria,185180,28.29,4.88,4000000000,60440000000,29.53,11,220000,5120000,70.03
Libya,1759540,26.82,3.48,4069000000,37480000000,24.60,67,160000,1590000,76.5
Zimbabwe,390580,29.74,24.66,4086000000,24370000000,67.69,4501,500000,4230000,36.67
Uzbekistan,447400,26.22,7.95,4351000000,47590000000,71.10,1040,492000,14640000,64.19
Nicaragua,129494,24.88,4.49,4573000000,12340000000,29.11,7094,90000,1930000,70.33
Madagascar,587040,41.66,11.35,4600000000,14560000000,76.83,773,70500,7300000,56.95
El Salvador,21040,27.04,5.85,4792000000,32350000000,25.10,4084,550000,2750000,71.22
Oman,212460,36.73,3.86,4814000000,38090000000,19.51,726,180000,920000,73.13
Congo Republic of the,342000,27.88,14.82,5000000000,2324000000,92.41,46,15000,0,48.97
Zambia,752614,41.38,20.23,5353000000,9409000000,88.29,1880,68200,4630000,39.7
Honduras,112090,30.38,6.87,5365000000,18790000000,29.32,1944,168600,2470000,65.6
Yemen,527970,43.07,8.53,5400000000,16250000000,61.50,138,100000,5980000,61.75
Bolivia,1098580,23.76,7.64,5439000000,22330000000,53.11,7080,270000,3800000,65.5
United Arab Emirates,82880,18.78,4.26,5900000000,63670000000,14.51,56283,1110200,2360000,75.24
Costa Rica,51100,18.60,4.33,5962000000,37970000000,9.95,10826,800000,1810000,76.84
Jamaica,10991,16.56,5.37,5964000000,11130000000,12.36,1480,600000,1140000,76.29
Guatemala,108890,34.11,6.81,5969000000,59470000000,35.93,20360,400000,3680000,65.14
Bahrain,665,18.10,4.08,6215000000,13010000000,17.27,1334,195700,370000,74.23
Burma,678500,18.11,12.15,6752000000,74300000000,67.24,3,28000,27010000,56.22
Kenya,582650,40.13,14.65,6792000000,34680000000,61.47,8325,400000,11400000,47.99
Jordan,92300,21.76,2.63,7320000000,25500000000,17.35,3160,457000,1410000,78.24
Tanzania,945087,38.16,16.71,7321000000,23710000000,98.54,5534,250000,19000000,45.24
Cyprus,9250,12.57,7.64,7327000000,4540000000,7.18,5901,210000,95025,77.65
Latvia,64589,9.04,13.70,7368000000,26530000000,9.55,51758,936000,1170000,71.05
Ghana,239460,23.97,10.84,7396000000,48270000000,51.43,407,170000,10240000,56
Dominican Republic,48730,23.28,7.35,7745000000,55680000000,32.38,64197,500000,0,67.26
Afghanistan,647500,47.02,20.75,8000000000,21500000000,163.07,0,1000,11800000,42.9
Estonia,45226,9.91,13.21,8373000000,19230000000,7.87,82142,444000,660000,71.77
Cameroon,475440,34.67,15.40,8460000000,30170000000,68.26,479,60000,6680000,47.84
Panama,78200,19.96,6.54,8780000000,20570000000,20.47,7129,120000,1320000,71.94
Lithuania,65200,8.62,10.92,10010000000,45230000000,6.89,67769,695700,1630000,73.97
Angola,1246700,44.64,25.90,10450000000,23170000000,191.19,17,41000,5410000,36.61
Sri Lanka,65610,15.63,6.49,10850000000,80580000000,14.35,1882,200000,7260000,73.17
Ireland,70280,14.47,7.85,11000000000,126400000000,5.39,162228,1260000,1920000,77.56
Congo Democratic Republic of the,2345410,44.38,14.43,11600000000,42740000000,92.87,153,50000,14510000,49.35
Cote d'Ivoire,322460,35.51,14.94,11810000000,24780000000,90.83,3795,90000,6700000,48.62
Korea North,120540,16.09,7.05,12000000000,30880000000,24.04,0,0,9600000,71.37
Cuba,110860,12.03,7.19,12090000000,33920000000,6.33,1529,120000,4550000,77.23
Uruguay,176220,14.09,9.06,12800000000,49270000000,11.95,87630,400000,1560000,76.13
Serbia and Montenegro,102350,12.12,10.49,12970000000,26270000000,12.89,20207,847000,3200000,74.73
Iran,1648000,16.83,5.55,13400000000,516700000000,41.58,5269,4300000,23000000,69.96
Slovenia,20273,8.95,10.22,14650000000,39410000000,4.45,45491,750000,870000,76.14
Tunisia,163610,15.50,5.09,14710000000,70880000000,24.77,281,630000,3550000,74.89
Kuwait,17820,21.88,2.42,15020000000,48000000000,9.95,3437,567000,1420000,77.03
Austria,83870,8.81,9.70,15500000000,255900000000,4.66,387006,3730000,3450000,78.92
Lebanon,10400,18.88,6.24,15840000000,18830000000,24.52,6998,400000,2600000,72.63
Bulgaria,110910,9.66,14.26,16100000000,61630000000,20.55,53421,630000,3398000,72.03
Ukraine,603700,10.49,16.42,16370000000,299100000000,20.34,94345,3800000,21110000,66.85
Vietnam,329560,17.07,6.20,16550000000,227200000000,25.95,340,3500000,42980000,70.61
Ecuador,283560,22.67,4.24,16810000000,49510000000,23.66,3188,569700,4530000,76.21
Turkey,780580,16.83,5.96,16900000000,508700000000,41.04,355215,5500000,25300000,72.36
Morocco,446550,22.29,5.64,17070000000,134600000000,41.62,3627,800000,11020000,70.66
Monaco,2,9.26,12.71,18000000000,870000000,5.43,533,16000,30540,79.57
Qatar,11437,15.54,4.61,18620000000,19490000000,18.61,221,126000,140000,73.67
Singapore,693,9.49,4.16,19400000000,120900000000,2.29,484825,2310000,2180000,81.62
Slovakia,48845,10.62,9.43,19540000000,78890000000,7.41,89592,1375800,2200000,74.5
Bangladesh,144000,30.01,8.40,19970000000,275700000000,62.60,1,243000,65490000,62.08
Sudan,2505810,35.17,9.16,21000000000,76190000000,62.50,0,300000,11000000,58.54
Denmark,43094,11.36,10.43,21700000000,174400000000,4.56,1219925,2756000,2870000,77.62
Algeria,2381740,17.13,4.60,21900000000,212300000000,31.00,897,500000,9910000,73
Romania,237500,10.70,11.74,24590000000,171500000000,26.43,50807,4000000,9660000,71.35
Kazakhstan,2717300,15.78,9.46,26030000000,118400000000,29.21,21984,250000,7950000,66.55
Croatia,56542,9.57,11.38,26400000000,50330000000,6.84,29644,1014000,1710000,74.45
South Africa,1219912,18.48,21.32,27010000000,491400000000,61.81,288633,3100000,16630000,43.27
Belgium,30528,10.48,10.22,28300000000,316200000000,4.68,166799,3400000,4750000,78.62
Peru,1285220,20.87,6.26,29790000000,155300000000,31.94,65868,2850000,11000000,69.53
Finland,338145,10.50,9.79,30000000000,151200000000,3.57,1219173,2650000,2660000,78.35
Nigeria,923768,40.65,17.18,30550000000,125700000000,98.80,1142,750000,55670000,46.74
Venezuela,912050,18.91,4.90,33290000000,145200000000,22.20,35301,1274400,12250000,74.31
Egypt,1001450,23.32,5.26,33750000000,316300000000,32.59,3401,2700000,20710000,71
Pakistan,803940,30.42,8.45,33970000000,347300000000,72.44,15124,1500000,45430000,63
Saudi Arabia,1960582,29.56,2.62,34350000000,310200000000,13.24,15931,1500000,6620000,75.46
Czech Republic,78866,9.07,10.54,36280000000,172200000000,3.93,295677,2700000,5250000,76.02
Colombia,1138910,20.82,5.59,38700000000,281100000000,20.97,115158,2732200,20700000,71.72
Chile,756950,15.44,5.76,44600000000,169100000000,8.80,202429,3575000,6200000,76.58
New Zealand,268680,13.90,7.53,47340000000,92510000000,5.85,474395,2110000,2050000,78.66
Thailand,514000,15.70,7.02,50590000000,524800000000,20.48,103700,6971500,36430000,71.57
Malaysia,329750,23.07,5.06,53360000000,229300000000,17.70,107971,8692100,10490000,72.24
Taiwan,35980,12.64,6.38,55500000000,576200000000,6.40,2777085,13800000,10220000,77.26
Philippines,300000,25.31,5.47,55600000000,430600000000,23.51,38440,3500000,35860000,69.91
Hungary,93030,9.76,13.19,57000000000,149300000000,8.57,383071,1600000,4170000,72.4
Sweden,449964,10.36,10.36,66500000000,255400000000,2.77,945221,5125000,4460000,80.4
Greece,131940,9.72,10.15,67230000000,226400000000,5.53,208977,1718400,4400000,79.09
